type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
Substrate   63          90          5           -7          3           -6          18          
ES          63          105         -1          -5          -2          -4          17          
Substrate   63          109         10          -4          12          -4          6           
Enzyme      63          112         9           2           6           -3          11          
Substrate   63          120         10          26          10          29          12          
Substrate   64          4           -8          9           -10         10          8           
Substrate   64          47          -1          11          -4          10          12          
Substrate   64          59          8           -8          7           -12         17          
Enzyme      64          65          -17         -11         -16         -9          14          
ES          64          119         2           3           3           1           12          
Substrate   65          38          1           1           4           3           8           
Substrate   65          66          -12         0           -17         1           17          
Substrate   65          98          -5          6           -7          2           14          
Substrate   65          107         9           10          13          12          13          
Substrate   65          109         -2          -3          1           0           16          
Enzyme      65          127         6           13          5           15          11          
ES          66          3           2           4           0           0           16          
Substrate   66          32          6           6           1           6           16          
Substrate   66          61          -2          -19         -1          -16         11          
Substrate   66          98          9           -11         7           -9          12          
Substrate   66          116         -2          -5          -6          -1          10          
Substrate   66          123         7           1           3           0           11          
Substrate   67          33          2           4           1           4           15          
Substrate   67          118         2           11          0           15          10          
Enzyme      68          1           -3          -5          -4          -11         13          
Enzyme      68          5           2           -4          3           -7          13          
Substrate   68          7           11          10          15          11          11          
Substrate   68          26          8           12          6           10          10          
Substrate   68          29          6           -8          6           -9          6           
Product     68          42          7           -4          8           -5          11          
ES          68          80          -14         6           -14         5           7           
Substrate   68          82          -6          -11         -4          -9          15          
Substrate   68          99          8           18          6           20          12          
ES          68          112         2           -3          2           -4          4           
Substrate   68          127         -4          2           -5          5           11          
Substrate   69          61          7           0           11          -4          14          
Substrate   69          74          -7          1           -6          3           7           
Substrate   69          99          -4          2           -10         2           9           
ES          69          121         4           9           5           6           17          
ES          70          9           5           -7          8           -2          17          
Substrate   70          40          -6          -13         -2          -13         15          
Substrate   70          51          -4          -4          -9          -6          10          
Substrate   70          71          -1          -3          -7          -5          13          
Enzyme      70          80          -11         12          -10         11          10          
Enzyme      70          103         1           -12         5           -11         13          
Substrate   70          104         9           18          9           16          10          
Enzyme      70          109         -5          7           -1          7           6           
Substrate   71          11          -2          -17         -6          -21         15          
Substrate   71          12          4           10          10          8           14          
